iter	Passed	Remaining
170	8377	40613
171	8447	40667
172	8502	40644
173	8535	40518
174	8575	40428
175	8604	40284
176	8637	40160
177	8665	40018
178	8700	39907
179	8728	39765
180	8754	39611
181	8782	39472
182	8822	39385
183	8847	39238
184	8881	39126
185	8912	39005
186	8934	38843
187	8958	38694
188	8984	38554
189	9012	38421
190	9036	38274
191	9058	38122
192	9081	37973
193	9103	37819
194	9124	37667
195	9147	37524
196	9169	37374
197	9190	37224
198	9209	37068
199	9229	36918
200	9250	36773
201	9272	36629
202	9295	36494
203	9318	36360
204	9337	36213
205	9362	36087
206	9390	35972
207	9412	35841
208	9436	35715
209	9455	35571
210	9476	35435
211	9495	35293
212	9514	35155
213	9536	35027
214	9554	34885
215	9577	34761
216	9597	34632
217	9616	34496
218	9636	34365
219	9654	34231
220	9672	34095
221	9693	33970
222	9711	33838
223	9730	33707
224	9748	33579
225	9767	33453
226	9786	33325
227	9804	33198
228	9823	33073
229	9841	32949
230	9860	32826
231	9881	32709
232	9898	32585
233	9917	32463
234	9935	32343
235	9954	32225
236	9973	32107
237	9990	31986
238	10009	31870
239	10027	31755
240	10047	31643
241	10065	31526
242	10083	31413
243	10097	31285
244	10115	31172
245	10136	31069
246	10157	30964
247	10179	30866
248	10198	30758
249	10218	30654
250	10236	30545
251	10251	30428
252	10268	30317
253	10286	30211
254	10303	30101
255	10323	30002
256	10344	29907
257	10370	29824
258	10394	29737
259	10423	29666
260	10450	29588
261	10476	29511
262	10502	29431
263	10528	29352
264	10555	29275
265	10581	29198
266	10595	29087
267	10616	28997
268	10639	28911
269	10662	28826
270	10687	28749
271	10711	28669
272	10733	28583
273	10757	28502
274	10781	28423
275	10802	28335
276	10830	28269
277	10851	28183
278	10874	28102
279	10895	28017
280	10916	27933
281	10936	27846
282	10956	27760
283	10975	27671
284	10996	27586
285	11014	27497
286	11033	27411
287	11053	27327
288	11073	27242
289	11092	27158
290	11113	27076
291	11135	26998
292	11158	26924
293	11178	26844
294	11200	26767
295	11222	26690
296	11242	26610
297	11262	26531
298	11282	26451
299	11298	26363
300	11318	26285
301	11339	26208
302	11363	26138
303	11384	26064
304	11409	25997
305	11432	25927
306	11455	25858
307	11475	25783
308	11495	25706
309	11514	25628
310	11530	25545
311	11551	25473
312	11571	25397
313	11589	25319
314	11609	25245
315	11628	25170
316	11647	25096
317	11666	25020
318	11686	24947
319	11705	24873
320	11724	24800
321	11743	24726
322	11762	24654
323	11781	24580
324	11801	24509
325	11819	24437
326	11839	24367
327	11859	24297
328	11878	24226
329	11896	24154
330	11915	24083
331	11935	24014
332	11953	23942
333	11971	23870
334	11987	23795
335	12005	23724
336	12023	23654
337	12041	23584
338	12059	23514
339	12076	23443
340	12095	23374
341	12113	23306
342	12132	23238
343	12152	23173
344	12168	23102
345	12186	23034
346	12203	22965
347	12221	22897
348	12239	22830
349	12256	22761
350	12274	22695
351	12292	22629
352	12310	22562
353	12330	22501
354	12350	22439
355	12368	22374
356	12387	22311
357	12408	22252
358	12428	22191
359	12449	22132
360	12467	22068
361	12484	22002
362	12502	21939
363	12520	21876
364	12538	21812
365	12555	21748
366	12572	21685
367	12590	21623
368	12607	21559
369	12625	21498
370	12644	21437
371	12661	21375
372	12680	21315
373	12696	21251
374	12713	21189
375	12731	21129
376	12749	21069
377	12770	21013
378	12790	20957
379	12811	20902
380	12828	20842
381	12846	20783
382	12868	20730
383	12886	20671
384	12906	20617
385	12926	20561
386	12943	20502
387	12962	20446
388	12980	20388
389	12999	20333
390	13018	20277
391	13037	20221
392	13056	20166
393	13075	20111
394	13095	20057
395	13117	20007
396	13140	19959
397	13160	19905
398	13180	19852
